member_name,filename,dtype,numel,shape,source_key,note
conv1_w,conv1_w.bin,float32,72,8x1x3x3,patch_embed_phase.0.weight,
conv1_b,conv1_b.bin,float32,8,8,patch_embed_phase.0.bias,
norm1_w,norm1_w.bin,float32,8,8,patch_embed_phase.2.weight,
norm1_b,norm1_b.bin,float32,8,8,patch_embed_phase.2.bias,
conv2_w,conv2_w.bin,float32,1152,16x8x3x3,patch_embed_phase.5.weight,
conv2_b,conv2_b.bin,float32,16,16,patch_embed_phase.5.bias,
norm2_w,norm2_w.bin,float32,16,16,patch_embed_phase.7.weight,
norm2_b,norm2_b.bin,float32,16,16,patch_embed_phase.7.bias,
